// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B4592C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,SampleTimeFine,Roll,Pitch,Yaw
34110,NaN,0.124651,0.039854,-72.273182
34111,NaN,0.123786,0.041664,-72.271255
34112,NaN,0.123742,0.040278,-72.271432
34113,NaN,0.124169,0.040684,-72.274408
34114,NaN,0.122996,0.041552,-72.274696
34115,NaN,0.123108,0.041030,-72.275744
34116,NaN,0.122648,0.044657,-72.275103
34117,NaN,0.121064,0.043691,-72.276929
34118,NaN,0.120620,0.043509,-72.275615
34119,NaN,0.120762,0.042996,-72.276561
34120,NaN,0.121302,0.043502,-72.275088
34121,NaN,0.123995,0.043250,-72.275751
34122,NaN,0.121017,0.042823,-72.274814
34123,NaN,0.119780,0.042837,-72.274261
34124,NaN,0.120286,0.044133,-72.275055
34125,NaN,0.120447,0.043598,-72.277375
34126,NaN,0.120824,0.044027,-72.277448
34127,NaN,0.120574,0.044729,-72.276600
34128,NaN,0.119967,0.044471,-72.276833
34129,NaN,0.122137,0.046222,-72.276150
34130,NaN,0.120708,0.045355,-72.274996
34131,NaN,0.119240,0.045290,-72.275232
34132,NaN,0.119489,0.044851,-72.274583
34133,NaN,0.118925,0.044596,-72.275291
34134,NaN,0.119175,0.044157,-72.274643
34135,NaN,0.118507,0.043902,-72.272864
34136,NaN,0.116915,0.042957,-72.273257
34137,NaN,0.117591,0.044337,-72.272726
34138,NaN,0.115415,0.041499,-72.274768
34139,NaN,0.115677,0.041061,-72.273967
34140,NaN,0.111021,0.040206,-72.272524
34141,NaN,0.111168,0.039714,-72.273691
34142,NaN,0.110432,0.038588,-72.273202
34143,NaN,0.110779,0.039049,-72.271302
34144,NaN,0.111158,0.039479,-72.271376
34145,NaN,0.112019,0.038673,-72.275831
34146,NaN,0.110590,0.037807,-72.274677
34147,NaN,0.110749,0.037280,-72.275115
34148,NaN,0.111515,0.040313,-72.277356
34149,NaN,0.110084,0.039428,-72.275715
34150,NaN,0.111027,0.038731,-72.275733
34151,NaN,0.111368,0.039193,-72.273951
34152,NaN,0.111054,0.039883,-72.273360
34153,NaN,0.109968,0.039963,-72.272106
34154,NaN,0.110184,0.040314,-72.273727
34155,NaN,0.112402,0.041244,-72.272689
34156,NaN,0.110940,0.041167,-72.273805
34157,NaN,0.112228,0.041416,-72.272660
34158,NaN,0.111914,0.042107,-72.272070
34159,NaN,0.111977,0.041612,-72.270782
34160,NaN,0.110678,0.041615,-72.270351
34161,NaN,0.111494,0.043863,-72.270797
34162,NaN,0.109902,0.042919,-72.271190
34163,NaN,0.109699,0.040632,-72.271923
34164,NaN,0.109950,0.040196,-72.271275
34165,NaN,0.110365,0.040640,-72.269688
34166,NaN,0.109922,0.040463,-72.268376
34167,NaN,0.111043,0.040626,-72.268631
34168,NaN,0.110438,0.040370,-72.268865
34169,NaN,0.112138,0.042402,-72.269261
34170,NaN,0.110709,0.041538,-72.268108
34171,NaN,0.110825,0.041022,-72.269117
34172,NaN,0.111336,0.042322,-72.269916
34173,NaN,0.112725,0.043437,-72.268767
34174,NaN,0.112283,0.043262,-72.267456
34175,NaN,0.112277,0.041877,-72.267173
34176,NaN,0.111672,0.041621,-72.267408
34177,NaN,0.111316,0.041414,-72.267634
34178,NaN,0.111698,0.041846,-72.267710
34179,NaN,0.111861,0.041306,-72.269554
34180,NaN,0.110400,0.041230,-72.270671
34181,NaN,0.110965,0.041725,-72.269884
34182,NaN,0.110491,0.042337,-72.270842
34183,NaN,0.109089,0.041451,-72.270042
34184,NaN,0.107791,0.041455,-72.269612
34185,NaN,0.108973,0.042485,-72.271259
34186,NaN,0.107546,0.041622,-72.270106
34187,NaN,0.108075,0.042909,-72.270353
34188,NaN,0.108328,0.042474,-72.269707
34189,NaN,0.107326,0.044173,-72.272168
34190,NaN,0.107709,0.044606,-72.272245
34191,NaN,0.107372,0.045257,-72.271281
34192,NaN,0.106899,0.045869,-72.272240
34193,NaN,0.105758,0.045935,-72.270578
34194,NaN,0.106141,0.046368,-72.270655
34195,NaN,0.106708,0.047638,-72.272437
34196,NaN,0.108088,0.044949,-72.271673
34197,NaN,0.107388,0.044572,-72.274256
34198,NaN,0.107934,0.045087,-72.272787
34199,NaN,0.107202,0.043943,-72.272277
34200,NaN,0.106892,0.044637,-72.271690
34201,NaN,0.106439,0.044449,-72.269912
34202,NaN,0.106661,0.044801,-72.271536
34203,NaN,0.107350,0.046176,-72.270443
34204,NaN,0.107604,0.045743,-72.269797
34205,NaN,0.107649,0.044353,-72.269917
34206,NaN,0.108164,0.045655,-72.270718
34207,NaN,0.107886,0.046321,-72.270160
34208,NaN,0.106753,0.046409,-72.268186
34209,NaN,0.106098,0.045260,-72.268076
34210,NaN,0.106321,0.045613,-72.269700
34211,NaN,0.105023,0.045632,-72.268913
34212,NaN,0.104854,0.043383,-72.268366
34213,NaN,0.104661,0.044931,-72.268375
34214,NaN,0.104915,0.044498,-72.267729
34215,NaN,0.105368,0.044920,-72.267738
34216,NaN,0.105623,0.044488,-72.267093
34217,NaN,0.106836,0.045514,-72.268514
34218,NaN,0.105997,0.046552,-72.265718
34219,NaN,0.107541,0.045487,-72.268150
34220,NaN,0.106245,0.045493,-72.267723
34221,NaN,0.106696,0.045900,-72.268377
34222,NaN,0.106095,0.045646,-72.268613
34223,NaN,0.105506,0.045377,-72.269012
34224,NaN,0.106456,0.044685,-72.269031
34225,NaN,0.105702,0.044331,-72.270966
34226,NaN,0.104275,0.043471,-72.269815
34227,NaN,0.104413,0.042927,-72.270752
34228,NaN,0.105895,0.041892,-72.272982
34229,NaN,0.103944,0.042132,-72.272211
34230,NaN,0.106044,0.042213,-72.270527
34231,NaN,0.102740,0.049067,-72.264940
34232,NaN,0.064687,0.091643,-72.221184
34233,NaN,-0.011575,0.201883,-71.955444
34234,NaN,0.026250,0.132117,-71.685872
34235,NaN,0.050150,0.091770,-71.367793
34236,NaN,0.093074,0.062886,-71.103038
34237,NaN,0.085225,0.081068,-70.994016
34238,NaN,0.103543,0.063366,-70.984264
34239,NaN,0.107791,0.059542,-70.984653
34240,NaN,0.108759,0.058817,-70.984675
34241,NaN,0.109024,0.058305,-70.983970
34242,NaN,0.110362,0.056352,-70.985469
34243,NaN,0.112644,0.057241,-70.984439
34244,NaN,0.108081,0.060895,-70.976890
34245,NaN,0.105447,0.060812,-70.941951
34246,NaN,0.102746,0.063784,-70.867037
34247,NaN,0.102258,0.063576,-70.827307
34248,NaN,0.103726,0.063899,-70.824979
34249,NaN,0.106225,0.063463,-70.827033
34250,NaN,0.107112,0.059690,-70.828626
34251,NaN,0.112162,0.059470,-70.830328
34252,NaN,0.108901,0.058113,-70.830221
34253,NaN,0.110400,0.056993,-70.832443
34254,NaN,0.110687,0.056541,-70.831807
34255,NaN,0.111142,0.056926,-70.831893
34256,NaN,0.111247,0.056377,-70.832793
34257,NaN,0.110192,0.056460,-70.830839
34258,NaN,0.111981,0.056313,-70.832242
34259,NaN,0.112567,0.057558,-70.833046
34260,NaN,0.112941,0.058724,-70.835386
34261,NaN,0.112567,0.058530,-70.834100
34262,NaN,0.111989,0.058257,-70.834340
34263,NaN,0.112308,0.057787,-70.833702
34264,NaN,0.111597,0.056656,-70.833223
34265,NaN,0.112870,0.057622,-70.834686
34266,NaN,0.109926,0.057222,-70.833764
34267,NaN,0.108692,0.057204,-70.833359
34268,NaN,0.107431,0.057208,-70.832941
34269,NaN,0.108887,0.058271,-70.832873
34270,NaN,0.108176,0.057140,-70.832393
34271,NaN,0.109316,0.057251,-70.833132
34272,NaN,0.109739,0.057658,-70.833217
34273,NaN,0.109374,0.057462,-70.831927
34274,NaN,0.107979,0.056608,-70.830788
34275,NaN,0.108839,0.059568,-70.833035
34276,NaN,0.108946,0.059019,-70.833935
34277,NaN,0.108896,0.059778,-70.831842
34278,NaN,0.109320,0.060185,-70.831927
34279,NaN,0.109603,0.060470,-70.833539
34280,NaN,0.108209,0.059616,-70.832400
34281,NaN,0.108895,0.057908,-70.833247
34282,NaN,0.109502,0.058415,-70.831797
34283,NaN,0.111014,0.057290,-70.834019
34284,NaN,0.111485,0.056939,-70.831848
34285,NaN,0.111083,0.057498,-70.832814
34286,NaN,0.111824,0.058863,-70.832085
34287,NaN,0.111598,0.059529,-70.831506
34288,NaN,0.111022,0.059257,-70.831747
34289,NaN,0.112164,0.059366,-70.832499
34290,NaN,0.110770,0.058513,-70.831360
34291,NaN,0.110270,0.062020,-70.832300
34292,NaN,0.110561,0.061570,-70.831665
34293,NaN,0.110574,0.060136,-70.831844
34294,NaN,0.110999,0.060545,-70.831930
34295,NaN,0.110463,0.060246,-70.832174
34296,NaN,0.109888,0.059974,-70.832415
34297,NaN,0.110626,0.062069,-70.833943
34298,NaN,0.111051,0.062478,-70.834029
34299,NaN,0.111379,0.062005,-70.833381
34300,NaN,0.111852,0.061656,-70.831211
34301,NaN,0.111270,0.062112,-70.833717
34302,NaN,0.111696,0.062521,-70.833803
34303,NaN,0.110471,0.062502,-70.833385
34304,NaN,0.110898,0.062911,-70.833471
34305,NaN,0.110360,0.062607,-70.833729
34306,NaN,0.110605,0.062916,-70.835351
34307,NaN,0.112930,0.063802,-70.834425
34308,NaN,0.112858,0.063155,-70.836861
34309,NaN,0.112640,0.063814,-70.836305
34310,NaN,0.112066,0.063544,-70.836547
34311,NaN,0.110839,0.063523,-70.836145
34312,NaN,0.111266,0.063933,-70.836231
34313,NaN,0.113088,0.063768,-70.837656
34314,NaN,0.110144,0.063370,-70.836736
34315,NaN,0.112474,0.064255,-70.835809
34316,NaN,0.109848,0.064815,-70.834076
34317,NaN,0.111358,0.063686,-70.836303
34318,NaN,0.110100,0.063692,-70.835887
34319,NaN,0.110430,0.063216,-70.835256
34320,NaN,0.109856,0.062945,-70.835499
34321,NaN,0.109184,0.061791,-70.835011
34322,NaN,0.111616,0.063564,-70.834788
34323,NaN,0.111759,0.062992,-70.835691
34324,NaN,0.110502,0.062999,-70.835275
34325,NaN,0.111337,0.062145,-70.836836
34326,NaN,0.111996,0.060464,-70.837674
34327,NaN,0.112009,0.059030,-70.837850
34328,NaN,0.112438,0.059442,-70.837938
34329,NaN,0.113048,0.060676,-70.838749
34330,NaN,0.111745,0.061440,-70.840590
34331,NaN,0.110246,0.059706,-70.838744
34332,NaN,0.112543,0.060623,-70.837800
34333,NaN,0.112328,0.061283,-70.837222
34334,NaN,0.111755,0.061013,-70.837465
34335,NaN,0.111526,0.061678,-70.836904
34336,NaN,0.110405,0.062543,-70.837210
34337,NaN,0.111870,0.063616,-70.837122
34338,NaN,0.110204,0.061052,-70.834541
34339,NaN,0.108806,0.060931,-70.835654
34340,NaN,0.109100,0.060486,-70.835020
34341,NaN,0.110571,0.061552,-70.834950
34342,NaN,0.109315,0.061560,-70.834535
34343,NaN,0.109589,0.061841,-70.836193
34344,NaN,0.108332,0.061850,-70.835778
34345,NaN,0.107337,0.059736,-70.836124
34346,NaN,0.108320,0.057575,-70.840690
34347,NaN,0.111743,0.056202,-70.839633
34348,NaN,0.111675,0.055555,-70.842070
34349,NaN,0.110896,0.057351,-70.841601
34350,NaN,0.111009,0.056805,-70.842503
34351,NaN,0.110991,0.056117,-70.844957
34352,NaN,0.110188,0.057942,-70.844452
34353,NaN,0.108646,0.056958,-70.844869
34354,NaN,0.104780,0.064936,-70.840957
34355,NaN,0.093341,0.076008,-70.838843
34356,NaN,0.087518,0.081870,-70.832986
34357,NaN,0.084445,0.082771,-70.829067
34358,NaN,0.085287,0.081192,-70.828368
34359,NaN,0.083103,0.082852,-70.833368
34360,NaN,0.070671,0.095640,-70.836675
34361,NaN,0.065779,0.102233,-70.839764
34362,NaN,0.064023,0.101180,-70.841696
34363,NaN,0.073026,0.090074,-70.842912
34364,NaN,0.076881,0.084536,-70.843332
34365,NaN,0.087938,0.074039,-70.841985
34366,NaN,0.091702,0.071454,-70.842383
34367,NaN,0.094795,0.069121,-70.842174
34368,NaN,0.096323,0.067266,-70.842134
34369,NaN,0.097453,0.067387,-70.842918
34370,NaN,0.097156,0.064270,-70.841651
34371,NaN,0.096668,0.067782,-70.842613
34372,NaN,0.096782,0.067237,-70.843515
34373,NaN,0.095840,0.068919,-70.844572
34374,NaN,0.100262,0.062484,-70.861505
34375,NaN,0.105515,0.054576,-70.956733
34376,NaN,0.100080,0.055637,-71.131964
34377,NaN,0.098572,0.044769,-71.399934
34378,NaN,0.112786,0.021307,-71.605667
34379,NaN,0.110033,0.021434,-71.690389
34380,NaN,0.115241,0.011689,-71.752812
34381,NaN,0.116094,0.005273,-71.835578
34382,NaN,0.118694,-0.001194,-71.882464
34383,NaN,0.123415,-0.015391,-71.975445
34384,NaN,0.129803,-0.064587,-72.086998
34385,NaN,0.136652,-0.113812,-72.177368
34386,NaN,0.139204,-0.142872,-72.241455
34387,NaN,0.136770,-0.173224,-72.304082
34388,NaN,0.134401,-0.202196,-72.351446
34389,NaN,0.134852,-0.240214,-72.371143
